epoch,lr,train_loss,val_loss,train_mean_macro_f1,val_mean_macro_f1,train_acc_Age,train_f1_Age,val_acc_Age,val_f1_Age,train_acc_Headgear,train_f1_Headgear,val_acc_Headgear,val_f1_Headgear,train_acc_Gender,train_f1_Gender,val_acc_Gender,val_f1_Gender,train_acc_Glasses,train_f1_Glasses,val_acc_Glasses,val_f1_Glasses,train_acc_UBClothingColor,train_f1_UBClothingColor,val_acc_UBClothingColor,val_f1_UBClothingColor,train_acc_LBClothingColor,train_f1_LBClothingColor,val_acc_LBClothingColor,val_f1_LBClothingColor
1,0.0003,-0.1421313406908878,-1.7582755310423077,0.24512780303337364,0.31726817350426745,0.1687071673329526,0.12529714020692914,0.5297593313157516,0.284394482791923,0.04757995431182182,0.035154548258013375,0.1627035595907191,0.09008293387138112,0.56059037692747,0.5593380903993892,0.6711341691886439,0.6446909896344931,0.4597729868646488,0.4282332223106581,0.2797233030696066,0.27653008519479655,0.27685965162764137,0.22025404534371626,0.4493442859201614,0.41905415819772157,0.1447922615648201,0.1024897716815358,0.27251765384061105,0.18885639133528945
2,0.0003,-3.3244627260634254,-4.682801896513221,0.4184388664715388,0.48725004245983267,0.43014705882352944,0.2924219571634686,0.6637844069750685,0.4064998089548489,0.2805896630496859,0.1536456780898608,0.36071480040351633,0.21839644466877306,0.7072387207310109,0.7048104446642502,0.7823893932843349,0.781338718603892,0.5625356938892062,0.5139094910863955,0.5656434644761493,0.5289368254500814,0.5854333238149628,0.548296986227892,0.6565787577460729,0.6065966058180717,0.4012707024557396,0.29754864159736555,0.45410001441129844,0.38173185126332876
3,0.0003,-6.002161299237858,-6.9981475024148425,0.505709238303356,0.5213478964148658,0.6140241290691034,0.3942998359927212,0.5888456549935149,0.40403132118901786,0.485329811536265,0.23465352631664635,0.4889753566796368,0.21927568564191877,0.7970802398629354,0.7945813648133575,0.8347024066868425,0.8304731322115582,0.6262492861222159,0.566780282146934,0.6163712350482778,0.5715205692937385,0.6767918332381496,0.6357872772595673,0.6417351203343421,0.6150841415841646,0.550381924614506,0.4081531432909093,0.6283326127684105,0.48770252856879653
4,0.0003,-8.321444565189642,-8.616420855111906,0.5510417296091589,0.5656180618302122,0.705578954882924,0.45172147598355644,0.8117884421386367,0.5150236611852084,0.5631960308395203,0.2705072178775341,0.7812364894076956,0.3484583725071978,0.8440177041690463,0.8418726969709684,0.8537253206513907,0.8524062076659202,0.6628176756139349,0.5997971198890141,0.5797665369649806,0.5446497096343915,0.7177505711022273,0.6792480913602901,0.683816111831676,0.6578151204341526,0.6119895773843518,0.4631037755735896,0.6561464187923332,0.47535529955440287
5,0.0003,-10.339458915389153,-10.22708746891816,0.586084896744128,0.5701978144442668,0.7722551399200457,0.5029772996622017,0.7816688283614354,0.49321015298283793,0.6112043118218161,0.30003308265301615,0.7325263006196858,0.31694509864842424,0.8752677041690463,0.8735497690992677,0.8865830811356104,0.8834595962694645,0.6851442033123929,0.6203496494708765,0.5943219484075515,0.5581257093994473,0.7469303255282695,0.7137598143988279,0.7293558149589278,0.6862012610162812,0.6442568532267275,0.5058397651805786,0.6505260123937167,0.48324506834914555
6,0.0003,-12.11657538975587,-10.422238535729175,0.6188038438574514,0.6175138144850852,0.821441319246145,0.5496896969255404,0.8576163712350483,0.5805734169578217,0.6863756424900057,0.3346427302151498,0.7348321083729644,0.3855497823350123,0.8978797829811537,0.896452683201535,0.8809626747369939,0.8798458183025675,0.7064356082238721,0.6410863705255359,0.7475140510159966,0.6689105455115887,0.7698101085094232,0.743438007102894,0.7398760628332612,0.6543996666343567,0.6697422901199315,0.547513575174053,0.6802132872171782,0.535803657169165
7,0.0003,-13.668590081954836,-11.285048364270127,0.6434888069044371,0.5997812737641651,0.8509244717304397,0.5853732043950114,0.8050151318633809,0.5147197578675609,0.7275485436893204,0.35738769729753483,0.6437527021184609,0.28360400382747186,0.9153162478583666,0.914118544082398,0.9009943795936014,0.8994571742423797,0.7262635636778983,0.6605720630326359,0.7198443579766537,0.6508272206900636,0.7840698172472873,0.7647162626314745,0.7672575299034443,0.7123167271451986,0.6949957167332953,0.5787650699875676,0.6609021472834702,0.5377627588123162
8,0.0003,-15.170229974565636,-9.906043176641381,0.6746462549915853,0.647132333048282,0.8919189034837236,0.644375373312005,0.8949416342412452,0.6191882357140445,0.7806967447173044,0.39522482160124306,0.8861507421818706,0.45949326960022485,0.9301113649343232,0.9291207901554404,0.8933563914108661,0.8928500599471744,0.7464484580239863,0.6803415439541117,0.7305087188355671,0.6596015953060863,0.7956346373500857,0.7832228446685874,0.7833981841763943,0.7318280895290893,0.7123250999428897,0.615592156258124,0.6286208387375702,0.5198327481930731
9,0.0003,-16.23926139766195,-7.316165704997924,0.684339721533279,0.6653014780594048,0.9004854368932039,0.658152747433587,0.9239083441418072,0.677807606072558,0.7877641347801256,0.3916361859650172,0.7620694624585675,0.3759126004679589,0.9392311536264991,0.9383589903375549,0.9079118028534371,0.90699214980964,0.7572815533980582,0.6913953818141667,0.7626459143968871,0.6833757321698608,0.8011671901770417,0.794849323216884,0.8055915838017005,0.7543383523706338,0.7198565105653912,0.6316457004324644,0.7253206513906904,0.5933824274657767
10,0.0003,-17.304606707380294,-4.331323413241406,0.7059686926716212,0.6480940103397719,0.9178326670474015,0.6908966363400154,0.8671278282173224,0.6254452974760988,0.8354333238149628,0.44033942980173446,0.8321083729644041,0.42828390202378364,0.946423472301542,0.9456444356905231,0.8766392851995964,0.8765643235478948,0.7668475157053113,0.7010566394687833,0.7583225248594898,0.6805380615382799,0.8090198458023986,0.8037011455924067,0.7649517221501657,0.7310923939584708,0.7327420045688178,0.6541738691362641,0.6611903732526301,0.5466400834941038
